,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,source
25,Low Fat,NCD06,45.906000000000006,838.908,Household,0.099887103,13.0,2007,OUT017,Tier 2,,Supermarket Type1,train
26,Regular,FDV10,42.3112,1065.28,Snack Foods,0.06669343700000001,7.645,2004,OUT035,Tier 2,Small,Supermarket Type1,train
27,low fat,DRJ59,39.1164,308.9312,Hard Drinks,0.019356131999999998,11.65,1987,OUT013,Tier 3,High,Supermarket Type1,train
28,Regular,FDE51,45.5086,178.4344,Dairy,0.161466534,5.925,1998,OUT010,Tier 3,,Grocery Store,train
29,Regular,FDC14,43.6454,125.8362,Canned,0.072221801,,1985,OUT019,Tier 1,Small,Grocery Store,train
30,Low Fat,FDV38,55.7956,163.7868,Dairy,0.17034855100000001,19.25,1998,OUT010,Tier 3,,Grocery Store,train
31,Low Fat,NCS17,96.4436,2741.7644,Health and Hygiene,0.080829372,18.6,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
32,Low Fat,FDP33,256.6672,3068.0064,Snack Foods,0.0,18.7,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
33,Low Fat,FDO23,93.1436,2174.5028,Breads,0.0,17.85,2002,OUT045,Tier 2,,Supermarket Type1,train
34,Low Fat,DRH01,174.8738,2085.2856,Soft Drinks,0.097904029,17.5,1997,OUT046,Tier 1,Small,Supermarket Type1,train
35,Low Fat,NCX29,146.7102,3791.0652,Health and Hygiene,0.08929113699999999,10.0,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
36,Regular,FDV20,128.0678,2797.6916,Fruits and Vegetables,0.059511812000000004,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
37,Regular,DRZ11,122.5388,1609.9044,Soft Drinks,0.113123893,8.85,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
38,Regular,FDX10,36.9874,388.1614,Snack Foods,0.12311145300000001,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
39,Low Fat,FDB34,87.6198,2180.495,Snack Foods,0.026480953999999998,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
40,Low Fat,FDU02,230.6352,3435.528,Dairy,0.102511504,13.35,1997,OUT046,Tier 1,Small,Supermarket Type1,train
41,Low Fat,FDK43,126.00200000000001,2150.534,Meat,0.02681843,9.8,1987,OUT013,Tier 3,High,Supermarket Type1,train
42,Low Fat,FDA46,192.9136,2527.3768,Snack Foods,0.117818348,13.6,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
43,Low Fat,FDC02,259.9278,6768.5228,Canned,0.06910283099999999,21.35,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
44,Regular,FDL50,126.5046,373.5138,Canned,0.042277867000000004,12.15,1987,OUT013,Tier 3,High,Supermarket Type1,train
45,LF,FDM39,178.1002,358.2004,Dairy,0.08949892599999999,6.42,1998,OUT010,Tier 3,,Grocery Store,train
46,Low Fat,NCP05,153.3024,2428.8384,Health and Hygiene,0.0,19.6,2002,OUT045,Tier 2,,Supermarket Type1,train
47,Low Fat,FDV49,265.2226,5815.0972,Canned,0.025879577,10.0,2002,OUT045,Tier 2,,Supermarket Type1,train
48,Regular,FDL12,60.622,2576.646,Baking Goods,0.121632721,15.85,1997,OUT046,Tier 1,Small,Supermarket Type1,train
49,Regular,FDS02,196.8794,780.3176,Dairy,0.25539489600000004,,1985,OUT019,Tier 1,Small,Grocery Store,train
50,Low Fat,NCL17,143.8812,3134.5864,Health and Hygiene,0.067779712,7.39,1997,OUT046,Tier 1,Small,Supermarket Type1,train
51,Low Fat,FDM40,141.5154,850.8924,Frozen Foods,0.159803853,10.195,1987,OUT013,Tier 3,High,Supermarket Type1,train
52,Regular,FDR13,117.0492,810.9444,Canned,0.028696932,9.895,1987,OUT013,Tier 3,High,Supermarket Type1,train
53,Low Fat,FDA43,196.3794,3121.2704,Fruits and Vegetables,0.065041581,10.895,2007,OUT017,Tier 2,,Supermarket Type1,train
54,Low Fat,NCP18,151.4708,4815.0656,Household,0.028760012999999997,12.15,2007,OUT017,Tier 2,,Supermarket Type1,train
55,Low Fat,FDK21,249.0408,6258.52,Snack Foods,0.010053105,7.905,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
56,Low Fat,NCX54,106.1622,2117.244,Household,0.048157338,9.195,2002,OUT045,Tier 2,,Supermarket Type1,train
57,Low Fat,DRK35,38.0506,796.9626,Hard Drinks,0.071958197,8.365,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
58,Low Fat,FDY21,194.511,4910.275,Snack Foods,0.17348130399999998,15.1,1997,OUT046,Tier 1,Small,Supermarket Type1,train
59,Low Fat,FDI26,180.0344,892.172,Canned,0.061082177,,1985,OUT019,Tier 1,Small,Grocery Store,train
60,Low Fat,FDM20,246.9144,3185.1872,Fruits and Vegetables,0.0,10.0,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
61,Regular,FDV27,87.3514,1062.6168,Meat,0.040071131,7.97,2002,OUT045,Tier 2,,Supermarket Type1,train
62,Low Fat,FDF09,38.2848,484.7024,Fruits and Vegetables,0.012090074,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
63,Regular,FDY40,51.0692,147.8076,Frozen Foods,0.15028599,,1985,OUT019,Tier 1,Small,Grocery Store,train
64,Low Fat,FDY45,255.8356,2543.356,Snack Foods,0.026015518999999997,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
65,LF,FDC46,185.4266,184.4266,Snack Foods,0.195068226,17.7,1998,OUT010,Tier 3,,Grocery Store,train
66,Low Fat,FDH19,172.5738,4865.6664,Meat,0.033082215,19.35,2004,OUT035,Tier 2,Small,Supermarket Type1,train
67,Regular,FDZ03,186.024,1118.5439999999999,Dairy,0.078946455,13.65,2002,OUT045,Tier 2,,Supermarket Type1,train
68,Low Fat,DRH37,164.8526,2302.3364,Soft Drinks,0.041700756,17.6,2002,OUT045,Tier 2,,Supermarket Type1,train
69,Low Fat,NCI17,95.84100000000001,2027.361,Health and Hygiene,0.14342264300000002,8.645,1997,OUT046,Tier 1,Small,Supermarket Type1,train
70,Regular,FDJ58,170.1764,3435.528,Snack Foods,0.10529607199999999,15.6,1997,OUT046,Tier 1,Small,Supermarket Type1,train
71,Regular,FDL12,59.222,599.22,Baking Goods,0.121531501,15.85,1987,OUT013,Tier 3,High,Supermarket Type1,train
72,Low Fat,FDH35,164.7526,4604.6728,Starchy Foods,0.0,18.25,2002,OUT045,Tier 2,,Supermarket Type1,train
73,Low Fat,FDG02,189.6188,2285.0256,Canned,0.011324862,7.855,2007,OUT017,Tier 2,,Supermarket Type1,train
74,low fat,NCZ18,254.3698,5580.7356,Household,0.186357148,7.825,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
75,Regular,FDC29,114.0176,2290.3520000000003,Frozen Foods,0.024205661,8.39,1997,OUT046,Tier 1,Small,Supermarket Type1,train
76,Low Fat,FDQ10,172.3422,1207.0954,Snack Foods,0.033230816,12.85,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
77,Low Fat,FDN48,89.9804,643.1628,Baking Goods,0.113720344,,1985,OUT019,Tier 1,Small,Grocery Store,train
78,Low Fat,FDL04,104.9622,1587.933,Frozen Foods,0.11255650699999999,19.0,2007,OUT017,Tier 2,,Supermarket Type1,train
79,Low Fat,FDV25,222.5456,5305.0944,Canned,0.0,5.905,2002,OUT045,Tier 2,,Supermarket Type1,train
80,Low Fat,FDD58,101.87,1697.79,Snack Foods,0.05935224099999999,7.76,1997,OUT046,Tier 1,Small,Supermarket Type1,train
81,reg,FDN04,180.3344,1427.4752,Frozen Foods,0.014087057,11.8,1997,OUT046,Tier 1,Small,Supermarket Type1,train
82,low fat,FDV45,187.9556,4693.89,Snack Foods,0.045230944,16.75,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
83,Low Fat,NCL18,194.6136,583.2408,Household,0.293417759,,1985,OUT019,Tier 1,Small,Grocery Store,train
84,Regular,FDR12,171.3764,3091.9752,Baking Goods,0.031382044,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
85,Regular,FDG20,177.0028,2479.4392,Fruits and Vegetables,0.12639886,15.5,2007,OUT017,Tier 2,,Supermarket Type1,train
86,Low Fat,FDZ55,160.99200000000002,2716.4640000000004,Fruits and Vegetables,0.025403897999999998,6.055,2004,OUT035,Tier 2,Small,Supermarket Type1,train
87,Regular,FDQ49,155.963,3285.723,Breakfast,0.039057677,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
88,Regular,FDN33,95.6436,661.8052,Snack Foods,0.123115764,6.305,1997,OUT046,Tier 1,Small,Supermarket Type1,train
89,Low Fat,FDN27,117.2808,1523.3504,Meat,0.039624006,20.85,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
90,Low Fat,FDW20,122.17299999999999,369.519,Fruits and Vegetables,0.040421193,20.75,1998,OUT010,Tier 3,,Grocery Store,train
91,Low Fat,DRG27,39.9138,690.4346,Dairy,0.10527411099999999,8.895,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
92,Low Fat,DRI25,55.1614,1381.535,Soft Drinks,0.033970195,19.6,2002,OUT045,Tier 2,,Supermarket Type1,train
93,Low Fat,FDA44,57.893,622.523,Fruits and Vegetables,0.053212652,19.7,2004,OUT035,Tier 2,Small,Supermarket Type1,train
94,Low Fat,NCR17,114.5492,1274.3412,Health and Hygiene,0.024378706,9.8,2004,OUT035,Tier 2,Small,Supermarket Type1,train
95,Low Fat,FDU04,120.0414,487.3656,Frozen Foods,0.009714595,,1985,OUT019,Tier 1,Small,Grocery Store,train
96,Low Fat,FDF41,246.046,1231.73,Frozen Foods,0.131383762,12.15,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
97,Regular,FDB56,187.4556,3755.112,Fruits and Vegetables,0.07461309,8.75,2004,OUT035,Tier 2,Small,Supermarket Type1,train
98,Low Fat,NCP18,149.9708,4363.6532,Household,0.028459761,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
99,Regular,FDB56,187.8556,1314.2892,Fruits and Vegetables,0.07462720099999999,8.75,1997,OUT046,Tier 1,Small,Supermarket Type1,train
100,Low Fat,FDT28,151.0708,1805.6496,Frozen Foods,0.063695084,13.3,2002,OUT045,Tier 2,,Supermarket Type1,train
101,Regular,FDD10,178.5344,2854.9504,Snack Foods,0.045797829000000005,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
102,Regular,FDW57,179.1028,3896.2616,Snack Foods,0.11585722300000001,8.31,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
103,Regular,DRB48,38.7822,667.7974,Soft Drinks,0.024832806000000002,16.75,1987,OUT013,Tier 3,High,Supermarket Type1,train
104,Low Fat,FDP09,212.0902,3185.853,Snack Foods,0.034027909,19.75,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
105,Regular,FDH14,141.1838,2247.7408,Canned,0.046769599999999995,17.1,1987,OUT013,Tier 3,High,Supermarket Type1,train
106,Regular,FDA47,163.121,1794.3310000000001,Baking Goods,0.11657670199999999,10.5,1987,OUT013,Tier 3,High,Supermarket Type1,train
107,Regular,FDG12,121.3098,2530.7058,Baking Goods,0.0,6.635,2002,OUT045,Tier 2,,Supermarket Type1,train
108,low fat,DRE60,225.372,679.1160000000001,Soft Drinks,0.278974075,,1985,OUT019,Tier 1,Small,Grocery Store,train
109,Low Fat,DRK49,41.4138,812.2760000000001,Soft Drinks,0.035913805,14.15,1987,OUT013,Tier 3,High,Supermarket Type1,train
110,Low Fat,FDD03,232.53,699.09,Dairy,0.079806266,13.3,1997,OUT046,Tier 1,Small,Supermarket Type1,train
111,low fat,FDS52,102.4016,2732.4432,Frozen Foods,0.005505481,8.89,2007,OUT017,Tier 2,,Supermarket Type1,train
112,Regular,FDW39,176.937,176.437,Meat,0.064625342,,1985,OUT019,Tier 1,Small,Grocery Store,train
113,Low Fat,FDX34,121.7098,4097.3332,Snack Foods,0.071636937,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
114,Regular,FDV11,173.2054,3151.8972,Breads,0.0,9.1,2002,OUT045,Tier 2,,Supermarket Type1,train
115,Low Fat,FDD17,239.0906,5942.265,Frozen Foods,0.032677677999999995,7.5,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
116,Regular,FDZ16,192.4478,4843.695,Frozen Foods,0.160760054,16.85,2007,OUT017,Tier 2,,Supermarket Type1,train
117,Low Fat,FDZ46,109.0228,2542.0244,Snack Foods,0.06911065,7.485,2004,OUT035,Tier 2,Small,Supermarket Type1,train
118,Low Fat,DRA12,140.3154,2552.6772,Soft Drinks,0.041177505,11.6,2007,OUT017,Tier 2,,Supermarket Type1,train
119,Low Fat,FDY58,227.0694,1141.847,Snack Foods,0.040081193,11.65,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
120,Low Fat,NCF19,47.5034,680.4476,Household,0.035307322,13.0,2007,OUT017,Tier 2,,Supermarket Type1,train
121,LF,DRJ13,159.0578,2085.9514,Soft Drinks,0.063017847,12.65,2002,OUT045,Tier 2,,Supermarket Type1,train
122,Regular,FDB14,92.512,186.424,Canned,0.171938781,20.25,1998,OUT010,Tier 3,,Grocery Store,train
123,Regular,FDJ38,190.153,3036.048,Canned,0.040197932,8.6,2004,OUT035,Tier 2,Small,Supermarket Type1,train
124,Low Fat,FDW11,62.7194,866.8716,Breads,0.049058014000000004,12.6,2007,OUT017,Tier 2,,Supermarket Type1,train
125,Low Fat,FDL40,95.041,868.8689999999999,Frozen Foods,0.01161096,17.7,2004,OUT035,Tier 2,Small,Supermarket Type1,train
126,Low Fat,DRI49,82.4276,1137.1864,Soft Drinks,0.183507295,14.15,1997,OUT046,Tier 1,Small,Supermarket Type1,train
127,Low Fat,FDV38,52.7956,928.1252,Dairy,0.102349519,19.25,2007,OUT017,Tier 2,,Supermarket Type1,train
128,Low Fat,DRG23,151.7682,762.341,Hard Drinks,0.08670898699999999,8.88,1987,OUT013,Tier 3,High,Supermarket Type1,train
129,Low Fat,NCP30,40.2822,707.0796,Household,0.032835147,20.5,2002,OUT045,Tier 2,,Supermarket Type1,train
130,Low Fat,FDY25,180.5976,7968.2944,Canned,0.033809913,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
131,Low Fat,NCH54,160.292,1438.128,Household,0.07266912,13.5,1997,OUT046,Tier 1,Small,Supermarket Type1,train
132,Low Fat,NCR53,224.4404,6976.2524,Health and Hygiene,0.144338493,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
133,Low Fat,FDS52,101.7016,101.2016,Frozen Foods,0.009163216,8.89,1998,OUT010,Tier 3,,Grocery Store,train
134,Low Fat,FDG02,188.5188,952.0939999999999,Canned,0.011307038,7.855,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
135,Low Fat,NCO26,116.0492,1969.4364,Household,0.076855628,7.235,1997,OUT046,Tier 1,Small,Supermarket Type1,train
136,Low Fat,FDH35,165.4526,5262.4832,Starchy Foods,0.059956876,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
137,Low Fat,FDB51,60.5852,1314.2892,Dairy,0.038532062,6.92,2002,OUT045,Tier 2,,Supermarket Type1,train
138,Low Fat,FDX44,90.8172,535.3032,Fruits and Vegetables,0.043209581,9.3,2007,OUT017,Tier 2,,Supermarket Type1,train
139,Low Fat,NCN07,132.1284,263.6568,Others,0.056816465,18.5,1998,OUT010,Tier 3,,Grocery Store,train
140,Low Fat,NCC31,154.5972,1402.1748,Household,0.019866705,8.02,2004,OUT035,Tier 2,Small,Supermarket Type1,train
141,Low Fat,NCX54,105.1622,1693.7952,Household,0.048331717,9.195,2007,OUT017,Tier 2,,Supermarket Type1,train
142,Low Fat,NCO55,105.5938,2143.876,Others,0.091221855,12.8,2002,OUT045,Tier 2,,Supermarket Type1,train
143,Low Fat,NCC30,177.6344,2676.5159999999996,Household,0.027622076000000002,16.6,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
144,Regular,FDI16,53.06399999999999,905.488,Frozen Foods,0.0,14.0,2004,OUT035,Tier 2,Small,Supermarket Type1,train
145,Low Fat,FDP16,246.3802,7370.406,Frozen Foods,0.039355947,18.6,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
146,Low Fat,FDB11,226.8404,6301.1312,Starchy Foods,0.060836524,16.0,2004,OUT035,Tier 2,Small,Supermarket Type1,train
147,Low Fat,NCB06,160.692,1597.92,Health and Hygiene,0.082316506,17.6,2004,OUT035,Tier 2,Small,Supermarket Type1,train
148,Low Fat,FDA45,178.237,529.311,Snack Foods,0.155350299,21.25,2004,OUT035,Tier 2,Small,Supermarket Type1,train
149,Low Fat,NCO26,117.5492,1969.4364,Household,0.076841095,7.235,2004,OUT035,Tier 2,Small,Supermarket Type1,train
150,Low Fat,DRJ25,50.3692,1034.6532,Soft Drinks,0.151419185,14.6,2007,OUT017,Tier 2,,Supermarket Type1,train
151,reg,FDR28,161.52100000000002,1794.3310000000001,Frozen Foods,0.026001976,13.85,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
152,Regular,FDI04,197.6426,2768.3964,Frozen Foods,0.073209447,13.65,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
153,Low Fat,DRK12,31.29,898.83,Soft Drinks,0.041683481,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
154,Low Fat,FDX20,226.172,3169.208,Fruits and Vegetables,0.042560252,7.365,1997,OUT046,Tier 1,Small,Supermarket Type1,train
155,Low Fat,NCI18,223.5746,3589.9936,Household,0.014081156000000001,18.35,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
156,Regular,FDB36,132.5626,262.3252,Baking Goods,0.0,5.465,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
157,Low Fat,FDN13,99.8358,1910.1802,Breakfast,0.152918384,18.6,2007,OUT017,Tier 2,,Supermarket Type1,train
158,Low Fat,DRD24,140.9154,1701.7848,Soft Drinks,0.030969273999999998,13.85,2007,OUT017,Tier 2,,Supermarket Type1,train
159,Regular,FDQ28,154.5656,2471.4496,Frozen Foods,0.06037677599999999,14.0,1987,OUT013,Tier 3,High,Supermarket Type1,train
160,Regular,FDM22,54.763999999999996,1331.6,Snack Foods,0.04192285,14.0,1987,OUT013,Tier 3,High,Supermarket Type1,train
161,Low Fat,FDR07,97.0094,1808.9786,Fruits and Vegetables,0.077367431,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
162,Low Fat,FDV25,222.5456,3315.684,Canned,0.045838211,5.905,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
163,Low Fat,DRF49,114.2518,2618.5914,Soft Drinks,0.071077939,7.27,1997,OUT046,Tier 1,Small,Supermarket Type1,train
164,Regular,FDW51,214.55599999999998,2769.728,Meat,0.09465987099999999,6.155,1997,OUT046,Tier 1,Small,Supermarket Type1,train
165,Regular,DRL01,233.4958,5375.0034,Soft Drinks,0.077608838,19.5,2007,OUT017,Tier 2,,Supermarket Type1,train
166,Low Fat,FDP25,216.8824,2838.9712,Canned,0.021327477,15.2,2007,OUT017,Tier 2,,Supermarket Type1,train
167,Regular,FDL50,125.0046,1743.0644,Canned,0.042485444000000004,12.15,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
168,Low Fat,NCB30,198.8084,5555.4352,Household,0.025578526,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
169,Low Fat,FDW11,61.9194,619.194,Breads,0.048980800000000005,12.6,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
170,Low Fat,NCM43,164.821,2120.573,Others,0.019471688,14.5,2004,OUT035,Tier 2,Small,Supermarket Type1,train
171,Low Fat,FDK44,173.0738,3823.0236,Fruits and Vegetables,0.122918852,16.6,2007,OUT017,Tier 2,,Supermarket Type1,train
172,Regular,FDM15,151.4366,1360.2294,Meat,0.057373797000000004,11.8,1987,OUT013,Tier 3,High,Supermarket Type1,train
173,Regular,FDS31,178.8318,3969.4996,Fruits and Vegetables,0.044155597000000005,13.1,1987,OUT013,Tier 3,High,Supermarket Type1,train
174,Low Fat,FDI32,115.1834,345.5502,Fruits and Vegetables,0.291865402,17.7,1998,OUT010,Tier 3,,Grocery Store,train
175,LF,FDR47,196.5794,585.2382,Breads,0.0,17.85,1998,OUT010,Tier 3,,Grocery Store,train
176,Regular,FDB35,92.6804,1010.6844,Starchy Foods,0.064750025,12.3,2002,OUT045,Tier 2,,Supermarket Type1,train
177,Low Fat,NCU05,81.4618,161.1236,Health and Hygiene,0.098312421,11.8,1998,OUT010,Tier 3,,Grocery Store,train
178,Regular,DRY23,42.1112,42.6112,Soft Drinks,0.191013663,,1985,OUT019,Tier 1,Small,Grocery Store,train
179,Low Fat,FDO24,157.4604,3010.7476,Baking Goods,0.176573035,11.1,2002,OUT045,Tier 2,,Supermarket Type1,train
180,Regular,FDQ28,153.0656,6024.1584,Frozen Foods,0.060134441,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
181,Low Fat,FDV39,198.1426,988.7130000000001,Meat,0.0072946519999999996,11.3,2002,OUT045,Tier 2,,Supermarket Type1,train
182,Low Fat,NCO17,117.944,239.688,Health and Hygiene,0.128478462,,1985,OUT019,Tier 1,Small,Grocery Store,train
183,Regular,FDU50,112.8176,1374.2112,Dairy,0.075107656,5.75,1987,OUT013,Tier 3,High,Supermarket Type1,train
184,Regular,FDT12,226.8062,4739.8302,Baking Goods,0.049381405999999996,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
185,Regular,FDK58,100.0016,1012.0160000000001,Snack Foods,0.045165795999999994,11.35,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
186,Regular,FDO08,165.7526,657.8104,Fruits and Vegetables,0.09415375,,1985,OUT019,Tier 1,Small,Grocery Store,train
187,Low Fat,NCW29,130.431,778.9860000000001,Health and Hygiene,0.028907832,14.0,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
188,Regular,FDE04,179.766,2336.958,Frozen Foods,0.018059621,19.75,2002,OUT045,Tier 2,,Supermarket Type1,train
189,Low Fat,NCB19,85.0882,2233.0932,Household,0.09043609400000001,6.525,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
190,Low Fat,FDV15,103.9648,1661.8368,Meat,0.146399712,10.3,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
191,Regular,FDL58,264.7568,4745.8224,Snack Foods,0.07426435599999999,5.78,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
192,Regular,FDA08,164.1526,3124.5994,Fruits and Vegetables,0.050186725999999994,11.85,2002,OUT045,Tier 2,,Supermarket Type1,train
193,Low Fat,FDT43,50.1324,467.3916,Fruits and Vegetables,0.020631654,16.35,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
194,Low Fat,NCX06,182.5976,5070.7328,Household,0.01561108,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
195,Low Fat,FDT20,37.6164,540.6296,Fruits and Vegetables,0.041395445,10.5,1997,OUT046,Tier 1,Small,Supermarket Type1,train
196,Regular,FDB41,48.0718,992.7078,Frozen Foods,0.097313129,19.0,1997,OUT046,Tier 1,Small,Supermarket Type1,train
197,Low Fat,NCN55,238.8538,6008.845,Others,0.059582996,14.6,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
198,Regular,FDE40,62.9194,2105.2596,Dairy,0.09866365199999999,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
199,reg,FDX49,232.63,5359.69,Canned,0.101338651,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
200,Low Fat,NCM53,104.62799999999999,745.696,Health and Hygiene,0.052146455999999994,18.75,2002,OUT045,Tier 2,,Supermarket Type1,train
201,Regular,FDE36,161.8868,3275.736,Baking Goods,0.041764487,5.26,2004,OUT035,Tier 2,Small,Supermarket Type1,train
202,Low Fat,FDN57,140.2154,1701.7848,Snack Foods,0.054344185999999996,18.25,2002,OUT045,Tier 2,,Supermarket Type1,train
203,Low Fat,FDI24,177.937,6704.606,Baking Goods,0.07836248400000001,,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
204,Low Fat,FDI19,242.7512,4119.9704,Meat,0.052339069,15.1,1997,OUT046,Tier 1,Small,Supermarket Type1,train
